name,color
EddardS,#3F0FCC
JonS,#DD9F3B
JonA,#2272C1
TyrionL,#48E2DF
BrandonS,#1E65DD
DaenerysT,#625A68
CatelynS,#825337
AryaS,#90AE22
RobertA,#A2483B
RobertB,#CA9013
SansaS,#1343FD
RobbS,#FDADE4
JoffreyB,#0D7674
Drogo,#F422F3
PetyrB,#892CAB
JaimeL,#4C464B
JorahM,#A25EE0
TywinL,#0C1AF6
Luwin,#6706F6
LysaA,#8D7A9F
SamwellT,#768EBA
Varys,#19C081
RodrikC,#1F38A3
Bronn,#654D47
CerseiL,#69FC2B
RenlyB,#8352E3
SeptaM,#FFEF25
ViserysT,#B50318
Pycelle,#CC280B
SandorC,#3C0D7F
JoryC,#1E6A21
GregorC,#82506D
MirriM,#A9D595
StannisB,#4D659A
BenjenS,#294976
IllyrioM,#AC6BF5
Hodor,#F9C374
TheonG,#77FCC4
BarristanS,#49ED1E
JeorM,#F4CB24
RickonS,#176958
BryndenT,#222CF4
Pyp,#6C6567
AlliserT,#78997A
AemonT,#C349E8
Dragonknight,#750AA5
SyrioF,#B1E567
WalderF,#75DCFA
LorasT,#E963AA
Grenn,#CEA637
Nan,#80FAB0
VardisE,#C4BFB9
RhaegarT,#EEDA79
EdmureT,#48C038
JeyneP,#560E24
Irri,#CD0CE9
Jhiqui,#EFC68F
Qotho,#FB42F4
Tom,#A80D2E
Osha,#FCE925
Doreah,#01A1E9
Shagga,#50BEA9
GreatjonU,#3A9F24
Yoren,#B4E369
Halder,#C37BD2
KevanL,#050DF1
Jhogo,#E67779
AerysT,#649B44
Lyanna,#A925DC
Mord,#10C479
MerynT,#8891A4
JanosS,#CF47D6
IlynP,#979793
Aggo,#049896
Marillion,#23122F
JaremyR,#740DF3
HosterT,#A7B4D8
Myrcella,#A47C12
BericD,#47A4D2
Tommen,#180FE1
BorosB,#2A6E48
Alyn,#599C2B
Haggo,#F234F0
MarqP,#9ADDAF
RooseB,#246187
Cohollo,#DF04B9
Chett,#92FD77
Timett,#3D9B50
RickardK,#EE26C1
Mycah,#DB9E2D
BowenM,#9E7D3F
Conn,#21F5EE
Shae,#7CCBAF
Rakharo,#EBAF05
Chiggen,#794D93
Desmond,#57FEA3
VayonP,#BDFD40
RaymunD,#5D3691
Jyck,#B358C6
DonalN,#916A0A
Ogo,#88FDC2
WillisW,#7A4EF4
AddamM,#45631D
Quaro,#4EFFE9
Hullen,#DCD84B
MashaH,#C70740
Harwin,#21FF7B
Rhaego,#609298
Dareon,#26730F
TobhoM,#9E495A
HallisM,#A77923
Colemon,#D5102A
Morrec,#6233D7
StevronF,#B53484
Cayn,#0D4263
KarylV,#6D849E
MaegeM,#032065
GalbartG,#FE8B84
Maegor,#31328C
Lefford,#41BC86
DonnelW,#566DE0
HalM,#B0CCC0
RandyllT,#CE867D
Hobb,#4FF0A6
TorrhenK,#4A129D
Malleon,#57044D
DarynH,#5D813C
